.1.3.6.1.2.1.1.1.0 ePowerSwitch 8XM
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.24734.1
.1.3.6.1.2.1.1.3.0 281776361
.1.3.6.1.2.1.1.4.0 NET
.1.3.6.1.2.1.1.5.0 NET-SWITCH-1
.1.3.6.1.2.1.1.6.0 TECHNIK
.1.3.6.1.2.1.1.7.0 72
.1.3.6.1.2.1.1.8.0 686
.1.3.6.1.2.1.1.9.1.2.1 .1.3.6.1.2.1.1.9.1
.1.3.6.1.2.1.1.9.1.3.1 The sysORTable capabilities are still being explored. It appears that the AGENT-CAPABILITIES macro in the MIB definitions should be used to generate these table entries. See RFC2580
.1.3.6.1.2.1.1.9.1.4.1 686
.1.3.6.1.2.1.2.1.0 2
.1.3.6.1.2.1.2.2.1.1.1 1
.1.3.6.1.2.1.2.2.1.1.2 2
.1.3.6.1.2.1.2.2.1.2.1 lo
.1.3.6.1.2.1.2.2.1.2.2 eth0
.1.3.6.1.2.1.2.2.1.3.1 1
.1.3.6.1.2.1.2.2.1.3.2 7
.1.3.6.1.2.1.2.2.1.4.1 1500
.1.3.6.1.2.1.2.2.1.4.2 1500
.1.3.6.1.2.1.2.2.1.5.1 0
.1.3.6.1.2.1.2.2.1.5.2 10000000
.1.3.6.1.2.1.2.2.1.6.1 "00 "
.1.3.6.1.2.1.2.2.1.6.2 "00 13 F6 01 45 8F "
.1.3.6.1.2.1.2.2.1.7.1 1
.1.3.6.1.2.1.2.2.1.7.2 1
.1.3.6.1.2.1.2.2.1.8.1 1
.1.3.6.1.2.1.2.2.1.8.2 1
.1.3.6.1.2.1.2.2.1.9.1 0
.1.3.6.1.2.1.2.2.1.9.2 0
.1.3.6.1.2.1.2.2.1.10.1 0
.1.3.6.1.2.1.2.2.1.10.2 1438932208
.1.3.6.1.2.1.2.2.1.11.1 0
.1.3.6.1.2.1.2.2.1.11.2 11707902
.1.3.6.1.2.1.2.2.1.12.1 0
.1.3.6.1.2.1.2.2.1.12.2 3236991
.1.3.6.1.2.1.2.2.1.13.1 0
.1.3.6.1.2.1.2.2.1.13.2 0
.1.3.6.1.2.1.2.2.1.14.1 0
.1.3.6.1.2.1.2.2.1.14.2 2691596
.1.3.6.1.2.1.2.2.1.15.1 0
.1.3.6.1.2.1.2.2.1.15.2 0
.1.3.6.1.2.1.2.2.1.16.1 0
.1.3.6.1.2.1.2.2.1.16.2 2627022448
.1.3.6.1.2.1.2.2.1.17.1 0
.1.3.6.1.2.1.2.2.1.17.2 11707826
.1.3.6.1.2.1.2.2.1.18.1 0
.1.3.6.1.2.1.2.2.1.18.2 5476
.1.3.6.1.2.1.2.2.1.19.1 0
.1.3.6.1.2.1.2.2.1.19.2 0
.1.3.6.1.2.1.2.2.1.20.1 0
.1.3.6.1.2.1.2.2.1.20.2 0
.1.3.6.1.2.1.2.2.1.21.1 0
.1.3.6.1.2.1.2.2.1.21.2 0
.1.3.6.1.2.1.2.2.1.22.1 .0.0
.1.3.6.1.2.1.2.2.1.22.2 .0.0
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.1.1 2
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.1.2 2
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.1.11 2
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.1.42 2
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.1.192 2
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.1.193 2
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.1.225 2
.1.3.6.1.2.1.3.1.1.1.2.1.10.104.3.192 2
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.1.1 "64 87 88 BB EE 01 "
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.1.2 "00 10 DB FF 10 09 "
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.1.11 "0C 59 9C 7F FF 30 "
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.1.42 "BC 97 E1 4F 82 D8 "
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.1.192 "92 52 EE 7C B1 9F "
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.1.193 "52 54 00 B5 CE 4D "
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.1.225 "BE 4E 8C 6B DD 28 "
.1.3.6.1.2.1.3.1.1.2.2.1.10.104.3.192 "52 54 00 B5 CE 4D "
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.1.1 10.104.1.1
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.1.2 10.104.1.2
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.1.11 10.104.1.11
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.1.42 10.104.1.42
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.1.192 10.104.1.192
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.1.193 10.104.1.193
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.1.225 10.104.1.225
.1.3.6.1.2.1.3.1.1.3.2.1.10.104.3.192 10.104.3.192
.1.3.6.1.2.1.4.1.0 1
.1.3.6.1.2.1.4.2.0 60
.1.3.6.1.2.1.4.3.0 11671148
.1.3.6.1.2.1.4.4.0 0
.1.3.6.1.2.1.4.5.0 0
.1.3.6.1.2.1.4.6.0 0
.1.3.6.1.2.1.4.7.0 0
.1.3.6.1.2.1.4.8.0 0
.1.3.6.1.2.1.4.9.0 11671154
.1.3.6.1.2.1.4.10.0 11600965
.1.3.6.1.2.1.4.11.0 0
.1.3.6.1.2.1.4.12.0 0
.1.3.6.1.2.1.4.13.0 60
.1.3.6.1.2.1.4.14.0 0
.1.3.6.1.2.1.4.15.0 0
.1.3.6.1.2.1.4.16.0 0
.1.3.6.1.2.1.4.17.0 0
.1.3.6.1.2.1.4.18.0 0
.1.3.6.1.2.1.4.19.0 0
.1.3.6.1.2.1.4.20.1.1.10.104.1.210 10.104.1.210
.1.3.6.1.2.1.4.20.1.1.127.0.0.1 127.0.0.1
.1.3.6.1.2.1.4.20.1.2.10.104.1.210 2
.1.3.6.1.2.1.4.20.1.2.127.0.0.1 1
.1.3.6.1.2.1.4.20.1.3.10.104.1.210 255.255.255.0
.1.3.6.1.2.1.4.20.1.3.127.0.0.1 255.0.0.0
.1.3.6.1.2.1.4.20.1.4.10.104.1.210 1
.1.3.6.1.2.1.4.20.1.4.127.0.0.1 1
.1.3.6.1.2.1.4.20.1.5.10.104.1.210 65535
.1.3.6.1.2.1.4.20.1.5.127.0.0.1 65535
.1.3.6.1.2.1.4.21.1.1.0.0.0.0 0.0.0.0
.1.3.6.1.2.1.4.21.1.1.10.104.1.0 10.104.1.0
.1.3.6.1.2.1.4.21.1.1.127.0.0.0 127.0.0.0
.1.3.6.1.2.1.4.21.1.2.0.0.0.0 2
.1.3.6.1.2.1.4.21.1.2.10.104.1.0 2
.1.3.6.1.2.1.4.21.1.2.127.0.0.0 1
.1.3.6.1.2.1.4.21.1.3.0.0.0.0 1
.1.3.6.1.2.1.4.21.1.3.10.104.1.0 1
.1.3.6.1.2.1.4.21.1.3.127.0.0.0 1
.1.3.6.1.2.1.4.21.1.4.0.0.0.0 -1
.1.3.6.1.2.1.4.21.1.4.10.104.1.0 -1
.1.3.6.1.2.1.4.21.1.4.127.0.0.0 -1
.1.3.6.1.2.1.4.21.1.5.0.0.0.0 -1
.1.3.6.1.2.1.4.21.1.5.10.104.1.0 -1
.1.3.6.1.2.1.4.21.1.5.127.0.0.0 -1
.1.3.6.1.2.1.4.21.1.6.0.0.0.0 -1
.1.3.6.1.2.1.4.21.1.6.10.104.1.0 -1
.1.3.6.1.2.1.4.21.1.6.127.0.0.0 -1
.1.3.6.1.2.1.4.21.1.7.0.0.0.0 10.104.1.1
.1.3.6.1.2.1.4.21.1.7.10.104.1.0 10.104.1.210
.1.3.6.1.2.1.4.21.1.7.127.0.0.0 127.0.0.1
.1.3.6.1.2.1.4.21.1.8.0.0.0.0 4
.1.3.6.1.2.1.4.21.1.8.10.104.1.0 3
.1.3.6.1.2.1.4.21.1.8.127.0.0.0 3
.1.3.6.1.2.1.4.21.1.9.0.0.0.0 2
.1.3.6.1.2.1.4.21.1.9.10.104.1.0 2
.1.3.6.1.2.1.4.21.1.9.127.0.0.0 2
.1.3.6.1.2.1.4.21.1.10.0.0.0.0 27932
.1.3.6.1.2.1.4.21.1.10.10.104.1.0 27932
.1.3.6.1.2.1.4.21.1.10.127.0.0.0 27932
.1.3.6.1.2.1.4.21.1.11.0.0.0.0 0.0.0.0
.1.3.6.1.2.1.4.21.1.11.10.104.1.0 255.255.255.0
.1.3.6.1.2.1.4.21.1.11.127.0.0.0 255.0.0.0
.1.3.6.1.2.1.4.21.1.12.0.0.0.0 -1
.1.3.6.1.2.1.4.21.1.12.10.104.1.0 -1
.1.3.6.1.2.1.4.21.1.12.127.0.0.0 -1
.1.3.6.1.2.1.4.21.1.13.0.0.0.0 .0.0
.1.3.6.1.2.1.4.21.1.13.10.104.1.0 .0.0
.1.3.6.1.2.1.4.21.1.13.127.0.0.0 .0.0
.1.3.6.1.2.1.4.22.1.1.2.10.104.1.1 2
.1.3.6.1.2.1.4.22.1.1.2.10.104.1.2 2
.1.3.6.1.2.1.4.22.1.1.2.10.104.1.11 2
.1.3.6.1.2.1.4.22.1.1.2.10.104.1.42 2
.1.3.6.1.2.1.4.22.1.1.2.10.104.1.192 2
.1.3.6.1.2.1.4.22.1.1.2.10.104.1.193 2
.1.3.6.1.2.1.4.22.1.1.2.10.104.1.225 2
.1.3.6.1.2.1.4.22.1.1.2.10.104.3.192 2
.1.3.6.1.2.1.4.23.0 0
.1.3.6.1.2.1.5.1.0 3729756
.1.3.6.1.2.1.5.2.0 0
.1.3.6.1.2.1.5.3.0 0
.1.3.6.1.2.1.5.4.0 0
.1.3.6.1.2.1.5.5.0 0
.1.3.6.1.2.1.5.6.0 0
.1.3.6.1.2.1.5.7.0 0
.1.3.6.1.2.1.5.8.0 3729756
.1.3.6.1.2.1.5.9.0 0
.1.3.6.1.2.1.5.10.0 0
.1.3.6.1.2.1.5.11.0 0
.1.3.6.1.2.1.5.12.0 0
.1.3.6.1.2.1.5.13.0 0
.1.3.6.1.2.1.5.14.0 3730084
.1.3.6.1.2.1.5.15.0 0
.1.3.6.1.2.1.5.16.0 328
.1.3.6.1.2.1.5.17.0 0
.1.3.6.1.2.1.5.18.0 0
.1.3.6.1.2.1.5.19.0 0
.1.3.6.1.2.1.5.20.0 0
.1.3.6.1.2.1.5.21.0 0
.1.3.6.1.2.1.5.22.0 3729756
.1.3.6.1.2.1.5.23.0 0
.1.3.6.1.2.1.5.24.0 0
.1.3.6.1.2.1.5.25.0 0
.1.3.6.1.2.1.5.26.0 0
.1.3.6.1.2.1.6.1.0 1
.1.3.6.1.2.1.6.2.0 1000
.1.3.6.1.2.1.6.3.0 10000
.1.3.6.1.2.1.6.4.0 -1
.1.3.6.1.2.1.6.5.0 0
.1.3.6.1.2.1.6.6.0 112
.1.3.6.1.2.1.6.7.0 2
.1.3.6.1.2.1.6.8.0 3
.1.3.6.1.2.1.6.9.0 0
.1.3.6.1.2.1.6.10.0 3605
.1.3.6.1.2.1.6.11.0 3727
.1.3.6.1.2.1.6.12.0 46
.1.3.6.1.2.1.6.13.1.1.0.0.0.0.80.0.0.0.0.0 2
.1.3.6.1.2.1.6.13.1.2.0.0.0.0.80.0.0.0.0.0 0.0.0.0
.1.3.6.1.2.1.6.13.1.3.0.0.0.0.80.0.0.0.0.0 80
.1.3.6.1.2.1.6.13.1.4.0.0.0.0.80.0.0.0.0.0 0.0.0.0
.1.3.6.1.2.1.6.13.1.5.0.0.0.0.80.0.0.0.0.0 0
.1.3.6.1.2.1.6.14.0 0
.1.3.6.1.2.1.6.15.0 1072
.1.3.6.1.2.1.7.1.0 7937907
.1.3.6.1.2.1.7.2.0 70607
.1.3.6.1.2.1.7.3.0 0
.1.3.6.1.2.1.7.4.0 7867278
.1.3.6.1.2.1.7.5.1.1.0.0.0.0.161 0.0.0.0
.1.3.6.1.2.1.7.5.1.1.0.0.0.0.1027 0.0.0.0
.1.3.6.1.2.1.7.5.1.1.0.0.0.0.52389 0.0.0.0
.1.3.6.1.2.1.7.5.1.2.0.0.0.0.161 161
.1.3.6.1.2.1.7.5.1.2.0.0.0.0.1027 1027
.1.3.6.1.2.1.7.5.1.2.0.0.0.0.52389 52389
.1.3.6.1.2.1.8.1.0 0
.1.3.6.1.2.1.8.2.0 0
.1.3.6.1.2.1.8.3.0 0
.1.3.6.1.2.1.8.4.0 0
.1.3.6.1.2.1.8.6.0 0
.1.3.6.1.2.1.11.1.0 7867232
.1.3.6.1.2.1.11.2.0 7867208
.1.3.6.1.2.1.11.3.0 0
.1.3.6.1.2.1.11.4.0 24
.1.3.6.1.2.1.11.5.0 24
.1.3.6.1.2.1.11.6.0 0
.1.3.6.1.2.1.11.8.0 0
.1.3.6.1.2.1.11.9.0 0
.1.3.6.1.2.1.11.10.0 0
.1.3.6.1.2.1.11.11.0 0
.1.3.6.1.2.1.11.12.0 0
.1.3.6.1.2.1.11.13.0 52617612
.1.3.6.1.2.1.11.14.0 0
.1.3.6.1.2.1.11.15.0 2868057
.1.3.6.1.2.1.11.16.0 26911
.1.3.6.1.2.1.11.17.0 0
.1.3.6.1.2.1.11.18.0 0
.1.3.6.1.2.1.11.19.0 0
.1.3.6.1.2.1.11.20.0 0
.1.3.6.1.2.1.11.21.0 455998
.1.3.6.1.2.1.11.22.0 0
.1.3.6.1.2.1.11.24.0 0
.1.3.6.1.2.1.11.25.0 0
.1.3.6.1.2.1.11.26.0 0
.1.3.6.1.2.1.11.27.0 0
.1.3.6.1.2.1.11.28.0 7867232
.1.3.6.1.2.1.11.29.0 0
.1.3.6.1.2.1.11.30.0 1
.1.3.6.1.2.1.11.31.0 0
.1.3.6.1.2.1.11.32.0 0
.1.3.6.1.4.1.24734.13.1.1.0 v 3.1.2.2
.1.3.6.1.4.1.24734.13.2.1.1.1.0 M0
.1.3.6.1.4.1.24734.13.2.1.1.1.1 S1
.1.3.6.1.4.1.24734.13.2.1.1.1.17 TH1
.1.3.6.1.4.1.24734.13.2.1.1.2.0 F_Master
.1.3.6.1.4.1.24734.13.2.1.1.2.1 F_Satellit
.1.3.6.1.4.1.24734.13.2.1.1.2.17 SEN-1
.1.3.6.1.4.1.24734.13.2.1.1.3.0 1
.1.3.6.1.4.1.24734.13.2.1.1.3.1 1
.1.3.6.1.4.1.24734.13.2.1.1.3.17 1
.1.3.6.1.4.1.24734.13.2.1.1.4.0 1
.1.3.6.1.4.1.24734.13.2.1.1.4.1 1
.1.3.6.1.4.1.24734.13.2.1.1.4.17 1
.1.3.6.1.4.1.24734.13.2.1.1.5.0 PowerSwitch
.1.3.6.1.4.1.24734.13.2.1.1.5.1 Power Switch 8-Port
.1.3.6.1.4.1.24734.13.2.1.1.5.17 TH Sensor
.1.3.6.1.4.1.24734.13.2.1.1.6.0 v 3.3.0.0
.1.3.6.1.4.1.24734.13.2.1.1.6.1 v 4.0.0.5
.1.3.6.1.4.1.24734.13.2.1.1.6.17 v 7.10.0.0
.1.3.6.1.4.1.24734.13.3.1.1.1.1 G1
.1.3.6.1.4.1.24734.13.3.1.1.1.2 G2
.1.3.6.1.4.1.24734.13.3.1.1.1.3 G3
.1.3.6.1.4.1.24734.13.3.1.1.1.4 G4
.1.3.6.1.4.1.24734.13.3.1.1.1.5 G5
.1.3.6.1.4.1.24734.13.3.1.1.1.6 G6
.1.3.6.1.4.1.24734.13.3.1.1.2.1 KVM-Switch
.1.3.6.1.4.1.24734.13.3.1.1.2.2 SWITC-1
.1.3.6.1.4.1.24734.13.3.1.1.2.3 SWITC-2
.1.3.6.1.4.1.24734.13.3.1.1.2.4 DM-1
.1.3.6.1.4.1.24734.13.3.1.1.2.5 DM-2
.1.3.6.1.4.1.24734.13.3.1.1.2.6 KVM Konsole
.1.3.6.1.4.1.24734.13.3.1.1.3.1 On
.1.3.6.1.4.1.24734.13.3.1.1.3.2 On
.1.3.6.1.4.1.24734.13.3.1.1.3.3 On
.1.3.6.1.4.1.24734.13.3.1.1.3.4 On
.1.3.6.1.4.1.24734.13.3.1.1.3.5 On
.1.3.6.1.4.1.24734.13.3.1.1.3.6 On
.1.3.6.1.4.1.24734.13.3.1.1.4.1 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.3.1.1.4.2 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.3.1.1.4.3 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.3.1.1.4.4 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.3.1.1.4.5 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.3.1.1.4.6 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.3.1.1.5.1 1
.1.3.6.1.4.1.24734.13.3.1.1.5.2 1
.1.3.6.1.4.1.24734.13.3.1.1.5.3 1
.1.3.6.1.4.1.24734.13.3.1.1.5.4 1
.1.3.6.1.4.1.24734.13.3.1.1.5.5 1
.1.3.6.1.4.1.24734.13.3.1.1.5.6 1
.1.3.6.1.4.1.24734.13.4.1.1.1.1701 T1
.1.3.6.1.4.1.24734.13.4.1.1.1.1702 H2
.1.3.6.1.4.1.24734.13.4.1.1.2.1701 Temperatur DUE_VIF
.1.3.6.1.4.1.24734.13.4.1.1.2.1702 Feuchtigkeit DUE_VIF
.1.3.6.1.4.1.24734.13.4.1.1.3.1701 22.739998
.1.3.6.1.4.1.24734.13.4.1.1.3.1702 36.232864
.1.3.6.1.4.1.24734.13.4.1.1.4.1701 23
.1.3.6.1.4.1.24734.13.4.1.1.4.1702 36
.1.3.6.1.4.1.24734.13.4.1.1.5.1701 "20 B0 43 "
.1.3.6.1.4.1.24734.13.4.1.1.5.1702 %RH
.1.3.6.1.4.1.24734.13.5.1.1.1.1 PWA
.1.3.6.1.4.1.24734.13.5.1.1.1.2 PWB
.1.3.6.1.4.1.24734.13.5.1.1.1.3 PWX
.1.3.6.1.4.1.24734.13.5.1.1.1.101 PWA
.1.3.6.1.4.1.24734.13.5.1.1.1.102 PWB
.1.3.6.1.4.1.24734.13.5.1.1.2.1 Netzspannung Eingang A Kabel 106
.1.3.6.1.4.1.24734.13.5.1.1.2.2 Netzspannung Eingang B Kabel 108
.1.3.6.1.4.1.24734.13.5.1.1.2.3 AUX-PS-12V Kabel 105
.1.3.6.1.4.1.24734.13.5.1.1.2.101 Netzspannung Eingang A Kabel 107
.1.3.6.1.4.1.24734.13.5.1.1.2.102 Netzspannung Eingang B Kabel 109
.1.3.6.1.4.1.24734.13.5.1.1.3.1 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.2 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.3 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.101 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.102 Applied
.1.3.6.1.4.1.24734.13.6.1.1.1.1 DI1
.1.3.6.1.4.1.24734.13.6.1.1.1.2 DI2
.1.3.6.1.4.1.24734.13.6.1.1.1.3 DI3
.1.3.6.1.4.1.24734.13.6.1.1.1.4 DI4
.1.3.6.1.4.1.24734.13.6.1.1.1.5 DI5
.1.3.6.1.4.1.24734.13.6.1.1.1.6 DI6
.1.3.6.1.4.1.24734.13.6.1.1.1.7 DI7
.1.3.6.1.4.1.24734.13.6.1.1.1.8 DI8
.1.3.6.1.4.1.24734.13.6.1.1.1.9 EM
